,doc9.txt,doc8.txt,doc10.txt,doc6.txt,doc7.txt,doc5.txt,doc4.txt,doc1.txt,doc3.txt,doc2.txt
are,1,1,0,0,0,0,1,0,1,0
velocity,0,0,0,0,0,0,1,1,0,0
kinematic,0,0,0,0,0,0,1,0,0,0
viscosity,0,0,0,0,0,0,1,0,0,1
outer,0,0,0,0,0,0,1,0,0,0
edge,0,0,0,1,0,0,1,0,0,1
boundary,1,0,0,1,0,0,1,0,0,1
layer,1,0,0,1,0,0,1,0,1,1
k,0,0,0,0,0,0,1,0,0,0
is,1,1,1,1,1,1,1,0,1,1
"height,",0,0,0,0,0,0,1,0,0,0
such,0,0,0,0,0,1,1,0,0,1
occurs,0,0,0,0,0,0,1,0,0,0
varies,0,0,0,0,0,0,1,0,0,0
as,1,0,0,1,0,1,1,1,0,1
position,0,0,0,0,0,1,1,0,0,0
one-fourth,0,0,0,0,0,0,1,0,0,0
"power,",0,0,0,0,0,0,1,0,0,0
"viz.,",0,0,0,0,0,0,1,0,0,0
x,0,0,0,1,0,0,1,0,0,0
an,0,1,0,1,1,1,0,1,0,1
experimental,1,1,0,0,0,0,0,1,0,0
study,0,1,0,0,0,1,0,1,0,1
of,1,1,1,1,1,1,1,1,1,1
a,1,1,1,1,1,1,1,1,1,1
wing,0,0,1,0,0,0,0,1,0,0
in,1,1,1,1,0,1,1,1,1,1
propeller,0,0,0,0,0,0,0,1,0,0
slipstream,0,0,0,0,0,0,0,1,0,0
was,0,0,0,1,0,0,0,1,0,0
made,0,0,1,1,1,0,0,1,0,0
order,0,0,0,0,0,0,0,1,0,0
to,1,1,1,1,0,1,1,1,1,1
determine,0,0,0,0,0,0,0,1,0,0
the,1,1,1,1,1,1,1,1,1,1
spanwise,0,0,0,0,0,0,0,1,0,0
distribution,0,0,0,0,0,0,0,1,0,0
lift,0,0,0,0,0,0,0,1,0,0
increase,0,0,0,0,0,0,0,1,0,0
due,0,0,0,0,0,0,0,1,0,0
at,0,1,1,1,0,1,1,1,1,0
different,0,1,0,0,0,0,0,1,0,1
angles,0,0,0,0,0,0,0,1,0,0
attack,0,0,0,0,0,0,0,1,0,0
and,1,1,1,1,1,1,1,1,1,1
free,0,0,0,0,0,0,0,1,0,1
stream,0,0,0,0,0,0,0,1,0,1
velocity,0,0,0,0,0,0,1,1,0,0
ratios,0,0,0,0,0,0,0,1,0,0
.,1,1,1,1,1,1,1,1,1,1
results,0,0,0,1,1,1,1,1,0,0
were,0,0,0,1,0,1,1,1,1,0
intended,0,0,0,0,0,0,0,1,0,0
part,0,0,0,0,0,0,0,1,0,0
as,1,0,0,1,0,1,1,1,0,1
evaluation,0,0,0,0,0,0,0,1,0,0
basis,0,0,0,0,0,1,0,1,0,0
for,0,0,1,1,1,0,0,1,1,1
theoretical,0,1,0,0,1,0,0,1,0,0
treatments,0,0,0,0,0,0,0,1,0,0
this,0,0,1,1,0,0,0,1,1,1
problem,0,0,1,0,0,0,0,1,0,1
comparative,0,0,0,0,0,0,0,1,0,0
span,0,0,0,0,0,0,0,1,0,0
loading,0,0,1,0,0,0,0,1,0,0
"curves,",0,0,0,0,0,0,0,1,0,0
together,0,0,0,0,0,0,0,1,0,0
with,1,1,1,1,0,0,1,1,1,0
supporting,0,0,0,0,0,0,0,1,0,0
"evidence,",0,0,0,0,0,0,0,1,0,0
showed,0,0,0,0,0,0,0,1,0,0
that,0,0,1,1,1,1,1,1,1,1
substantial,0,0,0,0,0,0,0,1,0,0
increment,0,0,0,0,0,0,0,1,0,0
produced,0,0,0,0,0,0,0,1,0,0
by,0,0,1,1,0,0,1,1,1,1
/destalling/,0,0,0,0,0,0,0,1,0,0
or,0,0,0,0,0,0,0,1,0,1
boundary-layer-control,0,0,0,0,0,0,0,1,0,0
effect,0,1,0,1,0,1,1,1,0,0
integrated,0,0,0,0,0,0,0,1,0,0
remaining,0,0,0,0,0,0,0,1,0,0
"increment,",0,0,0,0,0,0,0,1,0,0
after,0,0,0,0,0,1,1,1,0,0
subtracting,0,0,0,0,0,0,0,1,0,0
destalling,0,0,0,0,0,0,0,1,0,0
"lift,",0,0,0,0,0,0,0,1,0,0
found,0,0,0,1,0,0,0,1,0,0
agree,0,0,0,0,0,0,0,1,0,0
well,1,0,0,0,0,1,0,1,0,0
potential,0,0,0,0,0,0,0,1,0,0
flow,0,0,0,1,0,0,1,1,0,1
theory,0,0,1,0,0,0,0,1,0,0
empirical,0,0,0,0,0,0,0,1,0,0
effects,0,0,0,0,0,0,0,1,0,1
specific,0,0,0,0,0,0,0,1,0,0
configuration,0,0,0,0,0,0,0,1,0,0
experiment,0,0,0,0,0,0,0,1,0,0
in,1,1,1,1,0,1,1,1,1,1
a,1,1,1,1,1,1,1,1,1,1
recent,0,0,0,0,0,0,0,0,1,0
contribution,0,0,0,0,0,0,0,0,1,0
to,1,1,1,1,0,1,1,1,1,1
the,1,1,1,1,1,1,1,1,1,1
readers',0,0,0,0,0,0,0,0,1,0
forum,0,0,0,0,0,0,0,0,1,0
wassermann,0,0,0,0,0,0,0,0,1,0
gave,0,0,0,0,0,0,0,0,1,0
analytic,0,0,0,0,0,0,0,0,1,0
solutions,0,0,0,0,0,0,0,0,1,0
for,0,0,1,1,1,0,0,1,1,1
temperature,0,0,1,0,0,0,0,0,1,0
double,0,0,0,0,0,0,1,0,1,0
layer,1,0,0,1,0,0,1,0,1,1
"slab,",0,0,0,0,0,0,0,0,1,0
with,1,1,1,1,0,0,1,1,1,0
triangular,0,0,0,0,0,0,0,0,1,0
heat,1,0,0,0,0,0,0,0,1,0
rate,0,0,0,0,0,0,0,0,1,0
input,0,0,0,0,0,0,0,0,1,0
at,0,1,1,1,0,1,1,1,1,0
one,1,1,0,0,0,0,0,0,1,0
"face,",0,0,0,0,0,0,0,0,1,0
insulated,0,0,0,1,0,0,0,0,1,0
"other,",0,0,0,0,0,0,0,0,1,0
and,1,1,1,1,1,1,1,1,1,1
no,0,0,0,0,0,0,0,0,1,0
thermal,1,0,0,0,0,0,0,0,1,0
resistance,0,0,0,0,0,0,0,0,1,0
interface,0,0,0,0,0,0,0,0,1,0
.,1,1,1,1,1,1,1,1,1,1
his,0,0,0,0,0,1,0,0,1,0
were,0,0,0,1,0,1,1,1,1,0
three,0,0,0,0,0,0,0,0,1,0
particular,0,0,0,0,0,0,0,0,1,0
cases..,0,0,0,0,0,0,0,0,1,0
i,0,0,0,0,0,0,0,0,1,0
propose,0,0,0,0,0,0,0,0,1,0
here,0,0,0,0,0,0,0,0,1,1
give,0,0,0,0,0,0,0,0,1,0
general,0,0,0,0,0,0,0,0,1,0
solution,0,0,0,0,0,0,0,0,1,0
this,0,0,1,1,0,0,0,1,1,1
"problem,",0,0,0,0,0,0,0,0,1,0
indicate,0,0,0,0,0,0,1,0,1,0
briefly,0,0,1,0,0,0,0,0,1,0
how,0,0,0,0,0,0,0,0,1,0
it,0,0,1,1,1,1,0,0,1,1
is,1,1,1,1,1,1,1,0,1,1
obtained,0,0,0,1,0,0,0,0,1,0
using,0,0,0,0,0,0,0,0,1,0
method,0,0,1,0,0,0,0,0,1,0
of,1,1,1,1,1,1,1,1,1,1
reference,0,0,0,0,0,0,0,0,1,0
"2,",0,0,0,0,0,0,0,0,1,0
point,0,0,0,0,0,0,0,0,1,0
out,0,0,0,0,0,0,0,0,1,0
that,0,0,1,1,1,1,1,1,1,1
given,0,0,0,1,0,0,0,0,1,0
by,0,0,1,1,0,0,1,1,1,1
are,1,1,0,0,0,0,1,0,1,0
incomplete,0,0,0,0,0,0,0,0,1,0
times,0,0,0,0,0,0,0,0,1,0
longer,0,0,0,0,0,0,0,0,1,0
than,0,0,0,1,0,0,0,0,1,0
duration,0,0,0,0,0,0,0,0,1,0
in,1,1,1,1,0,1,1,1,1,1
the,1,1,1,1,1,1,1,1,1,1
study,0,1,0,0,0,1,0,1,0,1
of,1,1,1,1,1,1,1,1,1,1
high-speed,1,0,0,0,0,0,0,0,0,1
viscous,0,0,0,0,0,0,0,0,0,1
flow,0,0,0,1,0,0,1,1,0,1
past,0,0,0,0,0,0,0,0,0,1
a,1,1,1,1,1,1,1,1,1,1
two-dimensional,0,0,0,1,0,1,0,0,0,1
body,0,0,0,0,0,0,0,0,0,1
it,0,0,1,1,1,1,0,0,1,1
is,1,1,1,1,1,1,1,0,1,1
usually,0,0,0,0,0,0,0,0,0,1
necessary,0,0,0,0,0,0,0,0,0,1
to,1,1,1,1,0,1,1,1,1,1
consider,0,0,0,0,0,0,0,0,0,1
curved,0,0,0,0,0,0,0,0,0,1
shock,0,0,0,0,0,0,0,0,0,1
wave,0,0,0,0,0,0,0,0,0,1
emitting,0,0,0,0,0,0,0,0,0,1
from,1,0,1,0,1,1,1,0,0,1
nose,0,0,0,0,0,0,0,0,0,1
or,0,0,0,0,0,0,0,1,0,1
leading,0,0,0,1,0,1,0,0,0,1
edge,0,0,0,1,0,0,1,0,0,1
.,1,1,1,1,1,1,1,1,1,1
"consequently,",0,0,0,0,0,0,0,0,0,1
there,0,1,0,0,0,0,0,0,0,1
exists,0,0,0,0,0,0,0,0,0,1
an,0,1,0,1,1,1,0,1,0,1
inviscid,0,0,0,0,0,0,0,0,0,1
rotational,0,0,0,0,0,0,0,0,0,1
region,0,0,0,0,0,0,0,0,0,1
between,0,1,0,1,1,1,0,0,0,1
and,1,1,1,1,1,1,1,1,1,1
boundary,1,0,0,1,0,0,1,0,0,1
layer,1,0,0,1,0,0,1,0,1,1
such,0,0,0,0,0,1,1,0,0,1
situation,0,0,0,0,0,0,0,0,0,1
"arises,",0,0,0,0,0,0,0,0,0,1
for,0,0,1,1,1,0,0,1,1,1
"instance,",0,0,0,0,0,0,0,0,0,1
hypersonic,0,0,0,1,0,0,0,0,0,1
flat,0,0,0,1,0,1,0,0,0,1
plate,0,0,1,1,0,1,0,0,0,1
somewhat,0,0,0,0,0,0,0,0,0,1
different,0,1,0,0,0,0,0,1,0,1
prandtl's,0,0,0,0,0,0,0,0,0,1
classical,0,0,0,0,0,0,0,0,0,1
boundary-layer,0,0,0,0,0,1,1,0,0,1
problem,0,0,1,0,0,0,0,1,0,1
original,0,0,0,0,0,0,0,0,0,1
free,0,0,0,0,0,0,0,1,0,1
stream,0,0,0,0,0,0,0,1,0,1
outside,0,0,0,0,0,0,0,0,0,1
irrotational,0,0,0,0,0,0,0,0,0,1
while,0,0,0,0,0,0,0,0,0,1
must,0,0,0,0,0,0,0,0,0,1
be,0,0,1,1,0,1,0,0,0,1
considered,0,0,0,0,0,0,0,0,0,1
as,1,0,0,1,0,1,1,1,0,1
possible,0,0,0,0,0,0,0,0,0,1
effects,0,0,0,0,0,0,0,1,0,1
vorticity,0,0,0,0,0,0,1,0,0,1
have,0,0,0,0,0,0,0,0,0,1
been,0,0,0,0,1,0,0,0,0,1
recently,0,0,0,0,0,0,0,0,0,1
discussed,1,0,1,0,0,0,0,0,0,1
by,0,0,1,1,0,0,1,1,1,1
ferri,0,0,0,0,0,0,0,0,0,1
libby,0,0,0,0,0,0,0,0,0,1
present,0,0,0,0,0,0,0,0,0,1
"paper,",0,0,0,0,0,0,0,0,0,1
simple,0,0,0,0,0,0,0,0,0,1
shear,0,0,0,1,0,0,0,0,0,1
fluid,0,0,0,0,0,0,0,0,0,1
small,0,0,0,0,0,0,0,0,0,1
viscosity,0,0,0,0,0,0,1,0,0,1
investigated,0,0,0,1,0,0,0,0,0,1
can,0,0,1,0,0,0,0,0,0,1
shown,0,0,1,0,1,0,0,0,0,1
that,0,0,1,1,1,1,1,1,1,1
this,0,0,1,1,0,0,0,1,1,1
again,0,0,0,0,0,0,0,0,0,1
treated,0,0,0,0,0,0,0,0,0,1
"approximation,",0,0,0,0,0,0,0,0,0,1
only,0,0,0,1,0,0,0,0,0,1
novel,0,0,1,0,0,0,0,0,0,1
feature,0,0,0,0,0,0,0,0,0,1
being,0,1,0,1,0,0,0,0,0,1
has,0,0,0,0,1,0,1,0,0,1
constant,0,0,1,1,0,0,0,0,0,1
discussion,1,0,0,1,0,0,0,0,0,1
here,0,0,0,0,0,0,0,0,1,1
restricted,0,0,0,0,0,0,0,0,0,1
incompressible,0,0,0,1,0,0,0,0,0,1
steady,0,0,0,0,0,0,0,0,0,1
